order_id,payment_sequential,payment_type,payment_installments,payment_value,origen,seller_id,seller_zip_code_prefix,seller_city,seller_state,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,review_sentiment,order_item_id,product_id,shipping_limit_date,price,freight_value,price_normalized,customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,ï»¿product_category_name,product_category_name_english,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
c2c0ccad6e89d372981d2f5f6a13f7a6,1.0,credit_card,5.0,116.45,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38df34f6963826eaf92a536dff64393a,1.0,credit_card,1.0,16.29,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f5cbec89ff4ccb991c248075eb3131b,1.0,credit_card,10.0,111.02,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91dacce5950705b07fe767cc9fa118ed,1.0,credit_card,4.0,173.53,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a6d616eaf63de4f52782d2df79f405b,1.0,credit_card,3.0,320.28,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa9b87fd80f047ab5016c45aa05fd748,1.0,credit_card,3.0,73.49,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ae9d5632892fb8b10c6705633f72d2c,1.0,credit_card,8.0,137.9,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6649d935be7a1df58b2dc3754fb17379,1.0,credit_card,1.0,37.75,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b7d922e73fbd058099b6ff4b33e99f7,1.0,credit_card,4.0,187.75,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665a5fdd34c24a956e9b6194e822d222,1.0,credit_card,1.0,50.28,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dccad03ac8016afdcdb7cc0227ec9d7,1.0,credit_card,1.0,81.54,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47dd5e01f578faeecc316e731005674e,1.0,credit_card,1.0,86.6,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50cc713127f0c3035445fd5fc64460f9,1.0,credit_card,1.0,66.07,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b43a98a6615a9a0319f5ec81a6e5d666,1.0,credit_card,1.0,67.5,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1af85a7bfa8727b2f0009a9035341f3f,1.0,credit_card,1.0,26.38,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038f8b45fafa1130d2557e5b8dfd5d71,1.0,credit_card,2.0,27.39,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27dd7a0387216be808ff97f5d2cf5862,1.0,credit_card,1.0,55.96,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4903df9dcac3f7fd8d2625c04133301,1.0,credit_card,1.0,34.09,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57135998a968ee37a773daabc8afdade,1.0,credit_card,8.0,452.41,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7844d511767a3dbe9411602e49a0ac38,1.0,credit_card,5.0,77.66,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47cdb12caf2067098633bc9a0d3679f7,1.0,credit_card,2.0,144.99,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560dbca079541765d29129e9b652f8c2,1.0,credit_card,1.0,61.77,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c33f92b62a822db77b38b88bc7ad237,1.0,voucher,1.0,58.59,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca0400dec2c292340c373e63b1c2c597,1.0,credit_card,10.0,707.68,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7159096c5aa9be77f7f0c26c01ee9793,1.0,credit_card,4.0,280.65,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7fa198627aefca94731f4ec2464271e,1.0,credit_card,1.0,46.09,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0930b4554e6a2135e7132b897c3809f7,1.0,credit_card,1.0,29.77,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebd31a90e66528c36222f1d33b588105,1.0,boleto,1.0,348.84,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a30c457db31be821e75d2d690067559e,1.0,credit_card,2.0,100.53,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ddcd959778bf4fcb56c41d1656f1e0a8,1.0,credit_card,6.0,156.64,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f93c4c6491ecf4b1f3980d36ed6dd943,1.0,credit_card,5.0,296.71,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e65c1034a0e40b31a10fb6ac79277ee6,1.0,credit_card,1.0,285.12,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f64e2aff8ae7de23a6aaeb7b7dcf8bec,1.0,credit_card,1.0,167.73,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd62b37e405552f1b1c8ba894723f336,1.0,credit_card,1.0,96.93,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7f863d2b8f093124a65f45eff9c43557,1.0,credit_card,4.0,68.22,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aabd0a7ecf741520be60dc59fc6002ee,1.0,credit_card,5.0,56.07,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2b0a01a95828a432d2f335db23e23b6,1.0,credit_card,8.0,227.81,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277de059a7365a4f74aa03167d68bcfd,1.0,credit_card,5.0,87.75,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979c4326cc15330dd0b1e4547e25e81c,1.0,credit_card,2.0,168.88,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66d105a8f0f6727acbe752b4da6f29ef,1.0,credit_card,2.0,94.47,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc024e7a7e5a5ac73800730c0b388063,1.0,credit_card,5.0,118.17,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40e240e00303ab3cee64520a5ccf3388,1.0,credit_card,1.0,86.63,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e55d5c08b9e26113f2f0b5b9ee191b65,1.0,credit_card,8.0,205.83,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
